cpv_code,name,description
45262610,Fabrički dimnjaci,Industrial chimneys
72212443,Usluge izrade softvera za računovodstvo,Accounting software development services
34992000,Znaci i osvetljeni znaci,Signs and illuminated signs
44482100,Vatrogasna creva,Fire hoses
38561110,Tahometri,Tachometers
44111520,Materijal za termičku izolaciju,Thermal insulating material
45233121,Radovi na izgradnji glavnih puteva,Main road construction works
44621221,Delovi kotlova za centralno grejanje,Parts of central-heating boilers
31682210,Instrumenti i oprema za upravljanje,Instrumentation and control equipment
50333000,Usluge održavanja radiokomunikacione opreme,Maintenance services of radio-communications equipment
35333200,Rakete,Rockets
19200000,Tkanine od tekstila i srodni proizvodi,Textile fabrics and related items
90600000,Usluge čišćenja i sanitarne usluge u gradskim i seoskim sredinama i srodne usluge,"Cleaning and sanitation services in urban or rural areas, and related services"
14811300,Brusne ploče,Grinding wheels
71313000,Savetodavne usluge u oblasti zaštite životne sredine,Environmental engineering consultancy services
71311100,Prateće usluge u oblasti niskogradnje,Civil engineering support services
14212200,Agregati,Aggregates
90721100,Usluge zaštite pejzaža,Landscape protection services
66170000,"Usluge finansijskog savetovanja, obrade finansijskih transakcija i kliringa","Financial consultancy, financial transaction processing and clearing-house services"
42120000,Pumpe i kompresori,Pumps and compressors
38436310,Grejne ploče,Heating plates
55243000,Usluge dečijih kampova za odmor,Children's holiday-camp services
77700000,Usluge povezane sa ribarstvom,Services incidental to fishing
45236290,Radovi na popravljanju površina za rekreaciju,Repair work on recreational areas
34928220,Komponente za postavljanje ograda,Fencing components
42513000,Rashladna oprema i oprema za zamrzavanje,Refrigerating and freezing equipment
71340000,Usluge integrisanih inženjerskih usluga,Integrated engineering services
76600000,Usluge pregleda cevovoda,Pipeline-inspection services
34946220,"Skretnički jezičci, srcišta, , potezne motke  i drugi delovi skretnica","Switch blades, crossing frogs, point rods and crossing pieces"
32333200,Video kamkorderi,Video camcorders
39221100,Kuhinjsko posuđe,Kitchenware
39563510,Cevi i creva od tekstilnog materijala,Textile hosepiping
44170000,"Ploče, limovi, trake i folije u vezi sa građevinskim materijalom","Plates, sheets, strip and foil related to construction materials"
71632200,Usluge neinvanzivnog ispitivanja,Non-destructive testing services
51514100,Usluge instaliranja uređaja za filtriranje ili prečišćavanje tečnosti,Installation services of liquid filtering or purifying machinery and apparatus
45232220,Radovi na izgradnji podstanica,Substation construction work
66512200,Usluge zdravstvenog osiguranja,Health insurance services
79933000,Pomoćne usluge uređenja,Design support services
34410000,Motocikli,Motorcycles
45251100,Radovi na izgradnji elektrana,Construction work for power plant
30121100,Fotokopir aparati,Photocopiers
72212610,Usluge izrade softvera za baze podataka,Database software development services
34322000,Kočnice i delovi kočnica,Brakes and brake parts
